cod_institucion;nom_institucion;res_acreditacion;nom_programa;metodologia
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;9275;INGENIERIA AGRONOMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;797;MEDICINA VETERINARIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;12260;DISEÑO GRAFICO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;24508;DISEÑO INDUSTRIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;4057;CINE Y TELEVISION;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;7728;ENFERMERIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;26328;FISIOTERAPIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2780;MEDICINA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;24501;NUTRICION Y DIETETICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3680;ODONTOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;794;TERAPIA OCUPACIONAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;19587;ANTROPOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3335;PSICOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;6677;TRABAJO SOCIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;SOCIOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;17142;DERECHO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;549;ECONOMÍA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;19584;ADMINISTRACION DE EMPRESAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;5422;FILOSOFIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;12256;HISTORIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16333;LITERATURA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16228;FILOLOGIA E IDIOMAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;5785;INGENIERIA AGRICOLA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3984;INGENIERIA CIVIL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3576;INGENIERIA DE SISTEMAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;INGENIERIA ELECTRICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;24499;INGENIERIA MECANICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;9274;INGENIERIA QUIMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;11945;ARQUITECTURA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16035;BIOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;26329;ESTADISTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;1235;FISICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;12259;GEOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;12258;MATEMATICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;6160;QUIMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2494;FARMACIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN CIRUGIA GENERAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN CIRUGIA PEDIATRICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN CIRUGIA PLASTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN DERMATOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ENFERMERIA CARDIO RESPIRATORIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN ESTOMATOLOGIA PEDRIATICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN GASTROENTEROLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN OBSTETRICIA Y GINECOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN MEDICINA FISICA Y REHABILITACION;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN MEDICINA INTERNA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN NEUROCIRUGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN OFTALMOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN ORTODONCIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN ORTOPEDIA Y TRAUMATOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN OTORRINOLARINGOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN PEDIATRIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN PSIQUIATRIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN REUMATOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN UROLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN ENDOCRINOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN SALUD OCUPACIONAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ENFERMERIA MATERNA PERINATAL CON APOYO FAMILIAR;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN ANESTESIOLOGIA Y REANIMACION;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN NEUMOLOGIA CLINICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN PATOLOGIA ANATOMICA Y CLINICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN NEUROLOGIA CLINICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN PSICOLOGIA DE LA SALUD;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;418;ESPECIALIZACIÓN EN DERECHO DEL TRABAJO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN DERECHO ADMINISTRATIVO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;422;ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO-PENALES;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN POLITICA ECONOMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN SISTEMAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN TRANSPORTES;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN GEOTECNIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN INGENIERIA ELECTRICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN INGENIERIA AMBIENTAL- AREA SANITARIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN RECURSOS HIDRAULICOS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN CIENCIA Y TECNOLOGIA DE ALIMENTOS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ESTRUCTURAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN MATEMATICA AVANZADA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN CIENCIAS FISICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN FARMACOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ESTADISTICA;Presencial
